"Position";"VisiPos";"Status";"F-Nr";"Adresse";"Meldung_DE_DE";"Hilfetext_DE_DE";
"PFT01-0000";"PFT01";"2";"0001";"0.0";"Schaltschrank 30.00.SCH1: Schaltschranktemperatur zu hoch";"";
"PFT01-0000";"PFT01-30; PFT01-31; PFT01-32; PFT01-33; PFT01-36; PFT01-37";"2";"0002";"0.1";"Schaltschrank 30.00.SCH1: Steuerspannung fehlt";"";
"PFT01-0000";"PFT01-30; PFT01-31; PFT01-32; PFT01-33; PFT01-36; PFT01-37";"2";"0003";"0.2";"Schaltschrank 30.00.SCH1: Sicherungsautomat ausgelöst";"";
"PFT01-0000";"PFT01-34; PFT01-35";"2";"0004";"0.3";"Schaltschrank 30.00.SCH1: Sicherungsautomat für Versorgung 35.00.SCH1 ausgelöst";"";
"PFT01-0000";"PFT01-38; PFT01-39; PFT01-40";"2";"0005";"0.4";"Schaltschrank 30.00.SCH1: Sicherungsautomat für Versorgung 40.08.SCH1 ausgelöst";"";
"PFT01-0000";"PFT01-30; PFT01-31; PFT01-32; PFT01-33; PFT01-36; PFT01-37";"2";"0006";"0.5";"Schaltschrank 30.00.SCH1: Sicherungsautomat für Versorgung Tore ausgelöst";"";
"PFT01-0000";"PFT01-34; PFT01-35";"2";"0007";"0.6";"Schaltschrank 35.00.SCH1: Schaltschranktemperatur zu hoch";"";
"PFT01-0000";"PFT01-34; PFT01-35";"2";"0008";"0.7";"Schaltschrank 35.00.SCH1: Steuerspannung fehlt";"";
"PFT01-0000";"PFT01-34; PFT01-35";"2";"0009";"1.0";"Schaltschrank 35.00.SCH1: Sicherungsautomat ausgelöst";"";
"PFT01-0000";"PFT01-34; PFT01-35";"2";"0010";"1.1";"Schaltschrank 35.00.SCH1: Sicherungsautomat für Versorgung Tore ausgelöst";"";
"PFT01-0000";"PFT01-38; PFT01-39; PFT01-40";"2";"0011";"1.2";"Schaltschrank 40.08.SCH1: Schaltschranktemperatur zu hoch";"";
"PFT01-0000";"PFT01-38; PFT01-39; PFT01-40";"2";"0012";"1.3";"Schaltschrank 40.08.SCH1: Schaltschranktemperatur zu niedrig";"";
"PFT01-0000";"PFT01-38; PFT01-39; PFT01-40";"2";"0013";"1.4";"Schaltschrank 40.08.SCH1: Steuerspannung fehlt";"";
"PFT01-0000";"PFT01-38; PFT01-39; PFT01-40";"2";"0014";"1.5";"Schaltschrank 40.08.SCH1: Sicherungsautomat ausgelöst";"";
"PFT01-0000";"PFT01-38; PFT01-39; PFT01-40";"2";"0015";"1.6";"Schaltschrank 40.08.SCH1: Sicherungsautomat für Versorgung Tore ausgelöst";"";
"PFT01-0000";"PFT01";"4";"0016";"1.7";"Schaltschrank 30.00.SCH1: SPS: Sicherheitsbetrieb F-CPU deaktiviert";"";
"PFT01-0000";"PFT01";"4";"0017";"2.0";"Verbindung zum Materialflussrechner unterbrochen";"";
"PFT01-0000";"PFT01";"4";"0018";"2.1";"Gesendetes Datentelegramm kann vom Materialflussrechner nicht verarbeitet werden";"";
"PFT01-0000";"PFT01-30";"2";"0019";"2.2";"Schaltschrank 30.08.SCH1: Not-Halt-Taster betätigt";"";
"PFT01-0000";"PFT01-30; PFT01-31";"2";"0020";"2.3";"Schaltschrank 30.15.SCH1: Not-Halt-Taster betätigt";"";
"PFT01-0000";"PFT01-30; PFT01-31; PFT01-32; PFT01-33; PFT01-36";"2";"0021";"2.4";"Schaltschrank 31.03.SCH1: Not-Halt-Taster betätigt";"";
"PFT01-0000";"PFT01-30; PFT01-31; PFT01-32; PFT01-33; PFT01-36";"2";"0022";"2.5";"Schaltschrank 31.04.SCH1: Not-Halt-Taster betätigt";"";
"PFT01-0000";"PFT01-30; PFT01-31; PFT01-32; PFT01-33; PFT01-36";"2";"0023";"2.6";"Schaltschrank 31.08.SCH1: Not-Halt-Taster betätigt";"";
"PFT01-0000";"PFT01-30; PFT01-31; PFT01-32; PFT01-33; PFT01-36";"2";"0024";"2.7";"Schaltschrank 31.11.SCH1: Not-Halt-Taster betätigt";"";
"PFT01-0000";"PFT01-30; PFT01-31; PFT01-32; PFT01-33; PFT01-36";"2";"0025";"3.0";"Schaltschrank 31.14.SCH1: Not-Halt-Taster betätigt";"";
"PFT01-0000";"PFT01-30; PFT01-31; PFT01-32; PFT01-33; PFT01-36";"2";"0026";"3.1";"Schaltschrank 31.19.SCH1: Not-Halt-Taster betätigt";"";
"PFT01-0000";"PFT01-30; PFT01-31; PFT01-32; PFT01-33; PFT01-36";"2";"0027";"3.2";"Schaltschrank 31.20.SCH1: Not-Halt-Taster betätigt";"";
"PFT01-0000";"PFT01-30; PFT01-31; PFT01-32; PFT01-33; PFT01-36";"2";"0028";"3.3";"Schaltschrank 32.11.SCH1: Not-Halt-Taster betätigt";"";
"PFT01-0000";"PFT01-32; PFT01-33; PFT01-34";"2";"0029";"3.4";"Schaltschrank 33.02.SCH1: Not-Halt-Taster betätigt";"";
"PFT01-0000";"PFT01-32; PFT01-33; PFT01-34";"2";"0030";"3.5";"Schaltschrank 33.06.SCH1: Not-Halt-Taster betätigt";"";
"PFT01-0000";"PFT01-31; PFT01-32; PFT01-36; PFT01-37";"2";"0031";"3.6";"Schaltschrank 36.01.SCH2: Not-Halt-Taster betätigt";"";
"PFT01-0000";"PFT01-31; PFT01-32; PFT01-36; PFT01-37";"2";"0032";"3.7";"Schaltschrank 36.01.SCH3: Not-Halt-Taster betätigt";"";
"PFT01-0000";"PFT01-31; PFT01-32; PFT01-36; PFT01-37";"2";"0033";"4.0";"Schaltschrank 36.02.SCH1: Not-Halt-Taster betätigt";"";
"PFT01-0000";"PFT01-36; PFT01-37; PFT01-38; PFT01-39";"2";"0034";"4.1";"Schaltschrank 37.01.SCH1: Not-Halt-Taster betätigt";"";
"PFT01-0000";"PFT01-33; PFT01-34; PFT01-35";"2";"0035";"4.2";"Schaltschrank 34.01.SCH2: Not-Halt-Taster betätigt";"";
"PFT01-0000";"PFT01-33; PFT01-34; PFT01-35";"2";"0036";"4.3";"Schaltschrank 34.02.SCH1: Not-Halt-Taster betätigt";"";
"PFT01-0000";"PFT01-34; PFT01-35";"2";"0037";"4.4";"Schaltschrank 35.07.SCH1: Not-Halt-Taster betätigt";"";
"PFT01-0000";"PFT01-33; PFT01-34; PFT01-35";"2";"0038";"4.5";"Schaltschrank 34.01.SCH3: Not-Halt-Taster betätigt";"";
"PFT01-0000";"PFT01-34; PFT01-35";"2";"0039";"4.6";"Schaltschrank 35.02.SCH1: Not-Halt-Taster betätigt";"";
"PFT01-0000";"PFT01-36; PFT01-37; PFT01-38; PFT01-39";"2";"0040";"4.7";"Schaltschrank 38.02.SCH1: Not-Halt-Taster betätigt";"";
"PFT01-0000";"PFT01-38; PFT01-39";"2";"0041";"5.0";"Schaltschrank 38.08.SCH1: Not-Halt-Taster betätigt";"";
"PFT01-0000";"PFT01-38; PFT01-39";"2";"0042";"5.1";"Schaltschrank 38.05.SCH1: Not-Halt-Taster betätigt";"";
"PFT01-0000";"PFT01-38; PFT01-39; PFT01-40";"2";"0043";"5.2";"Schaltschrank 38.11.SCH1: Not-Halt-Taster betätigt";"";
"PFT01-0000";"PFT01-40";"2";"0044";"5.3";"Schaltschrank 40.08.SCH1: Not-Halt-Taster betätigt";"";
"PFT01-0000";"PFT01";"2";"0045";"5.4";"Schaltschrank 30.00.SCH1: F-Eingangsmodul EB0 gestört";"";
"PFT01-0000";"PFT01";"2";"0046";"5.5";"Schaltschrank 30.00.SCH1: F-Eingangsmodul EB6 gestört";"";
"PFT01-0000";"PFT01";"2";"0047";"5.6";"Schaltschrank 30.00.SCH1: F-Eingangsmodul EB12 gestört";"";
"PFT01-0000";"PFT01";"2";"0048";"5.7";"Schaltschrank 30.00.SCH1: F-Eingangsmodul EB18 gestört";"";
"PFT01-0000";"PFT01";"2";"0049";"6.0";"Schaltschrank 30.00.SCH1: F-Eingangsmodul EB24 gestört";"";
"PFT01-0000";"PFT01";"2";"0050";"6.1";"Schaltschrank 30.00.SCH1: F-Eingangsmodul EB30 gestört";"";
"PFT01-0000";"PFT01";"2";"0051";"6.2";"Schaltschrank 30.00.SCH1: F-Eingangsmodul EB36 gestört";"";
"PFT01-0000";"PFT01";"2";"0052";"6.3";"Schaltschrank 30.00.SCH1: F-Eingangsmodul EB42 gestört";"";
"PFT01-0000";"PFT01";"2";"0053";"6.4";"Schaltschrank 30.00.SCH1: F-Eingangsmodul EB48 gestört";"";
"PFT01-0000";"PFT01";"2";"0054";"6.5";"Schaltschrank 30.00.SCH1: F-Eingangsmodul EB54 gestört";"";
"PFT01-0000";"PFT01";"2";"0055";"6.6";"Schaltschrank 30.00.SCH1: F-Eingangsmodul EB60 gestört";"";
"PFT01-0000";"PFT01";"2";"0056";"6.7";"Schaltschrank 30.00.SCH1: F-Eingangsmodul EB66 gestört";"";
"PFT01-0000";"PFT01";"2";"0057";"7.0";"Schaltschrank 30.00.SCH1: F-Eingangsmodul EB72 gestört";"";
"PFT01-0000";"PFT01";"2";"0058";"7.1";"Schaltschrank 30.00.SCH1: F-Eingangsmodul EB78 gestört";"";
"PFT01-0000";"PFT01";"2";"0059";"7.2";"Schaltschrank 30.00.SCH1: F-Eingangsmodul EB84 gestört";"";
"PFT01-0000";"PFT01";"2";"0060";"7.3";"Schaltschrank 30.00.SCH1: F-Eingangsmodul EB90 gestört";"";
"PFT01-0000";"PFT01";"2";"0061";"7.4";"Schaltschrank 35.00.SCH1: F-Eingangsmodul EB300 gestört";"";
"PFT01-0000";"PFT01";"2";"0062";"7.5";"Schaltschrank 35.00.SCH1: F-Eingangsmodul EB306 gestört";"";
"PFT01-0000";"PFT01";"2";"0063";"7.6";"Schaltschrank 35.00.SCH1: F-Eingangsmodul EB312 gestört";"";
"PFT01-0000";"PFT01";"2";"0064";"7.7";"Schaltschrank 35.00.SCH1: F-Eingangsmodul EB318 gestört";"";
"PFT01-0000";"PFT01";"2";"0065";"8.0";"Schaltschrank 35.00.SCH1: F-Eingangsmodul EB324 gestört";"";
"PFT01-0000";"PFT01";"2";"0066";"8.1";"Schaltschrank 40.08.SCH1: F-Eingangsmodul EB500 gestört";"";
"PFT01-0000";"PFT01";"2";"0067";"8.2";"Schaltschrank 40.08.SCH1: F-Eingangsmodul EB506 gestört";"";
"PFT01-0000";"PFT01";"2";"0068";"8.3";"Schaltschrank 40.08.SCH1: F-Eingangsmodul EB512 gestört";"";
"PFT01-0000";"PFT01";"2";"0069";"8.4";"Schaltschrank 40.08.SCH1: F-Eingangsmodul EB518 gestört";"";
"PFT01-0000";"PFT01";"2";"0070";"8.5";"Schaltschrank 40.08.SCH1: F-Eingangsmodul EB524 gestört";"";
"PFT01-0000";"PFT01";"2";"0071";"8.6";"Schaltschrank 30.00.SCH1: F-Ausgangsmodul AB120 gestört";"";
"PFT01-0000";"PFT01";"2";"0072";"8.7";"Schaltschrank 30.00.SCH1: F-Ausgangsmodul AB125 gestört";"";
"PFT01-0000";"PFT01";"2";"0073";"9.0";"Schaltschrank 35.00.SCH1: F-Ausgangsmodul AB360 gestört";"";
"PFT01-0000";"PFT01";"2";"0074";"9.1";"Schaltschrank 40.08.SCH1: F-Ausgangsmodul AB560 gestört";"";
"PFT01-0000";"PFT01-30; PFT01-31; PFT01-32; PFT01-33; PFT01-36; PFT01-37";"2";"0075";"9.2";"Schaltschrank 30.00.SCH1: Verbindung zur ET200 1 unterbrochen";"";
"PFT01-0000";"PFT01-30; PFT01-31; PFT01-32; PFT01-33; PFT01-36; PFT01-37";"2";"0076";"9.3";"Schaltschrank 30.00.SCH1: Verbindung zur ET200 2 unterbrochen";"";
"PFT01-0000";"PFT01-34; PFT01-35";"2";"0077";"9.4";"Schaltschrank 35.00.SCH1: Verbindung zur ET200 unterbrochen";"";
